#,----------------------------------,WARNING,----------------------------------------,
#,Some,of,the,data
#,may,not,have,received
#,as,provisional,and,are
#,condition,that,neither,the
#,for,any,damages,resulting
#,,,,
#,Additional,info:,https://help.waterdata.usgs.gov/policies/provisional-data-statement,
#,,,,
#,File-format,description:,https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,
#,Automated-retrieval,info:,https://help.waterdata.usgs.gov/faq/automated-retrievals,
#,,,,
#,Contact:,gs-w_support_nwisweb@usgs.gov,,
#,retrieved:,2/5/2019,18:48:36,EST
#,,,,
#,Data,for,the,following
#,USGS,11179000,ALAMEDA,C
#,-----------------------------------------------------------------------------------,,,
#,,,,
#,Data,provided,for,site
#,TS,parameter,statistic,Description
#,9032,60,3,Discharge
#,,,,
#,Data-value,qualification,codes,included
#,,,,
#,A,Approved,for,publication
#,P,Provisional,data,subject
#,e,Value,has,been
#,,,,
agency_cd,Station,Date,Discharge_cfs,Data_Qualification
USGS,11179000,1/1/1969,52,A
USGS,11179000,1/2/1969,45,A
USGS,11179000,1/3/1969,35,A
USGS,11179000,1/4/1969,41,A
USGS,11179000,1/5/1969,41,A
USGS,11179000,1/6/1969,40,A
USGS,11179000,1/7/1969,41,A
USGS,11179000,1/8/1969,39,A
USGS,11179000,1/9/1969,39,A
USGS,11179000,1/10/1969,38,A
USGS,11179000,1/11/1969,37,A
USGS,11179000,1/12/1969,12,A
USGS,11179000,1/13/1969,16,A
USGS,11179000,1/14/1969,44,A
USGS,11179000,1/15/1969,19,A
USGS,11179000,1/16/1969,42,A
USGS,11179000,1/17/1969,41,A
USGS,11179000,1/18/1969,43,A
USGS,11179000,1/19/1969,696,A
USGS,11179000,1/20/1969,568,A
USGS,11179000,1/21/1969,655,A
USGS,11179000,1/22/1969,400,A
USGS,11179000,1/23/1969,148,A
USGS,11179000,1/24/1969,107,A
USGS,11179000,1/25/1969,2010,A
USGS,11179000,1/26/1969,2220,A
USGS,11179000,1/27/1969,608,A
USGS,11179000,1/28/1969,684,A
USGS,11179000,1/29/1969,378,A
USGS,11179000,1/30/1969,419,A
USGS,11179000,1/31/1969,268,A
USGS,11179000,2/1/1969,132,A
USGS,11179000,2/2/1969,103,A
USGS,11179000,2/3/1969,83,A
USGS,11179000,2/4/1969,67,A
USGS,11179000,2/5/1969,106,A
USGS,11179000,2/6/1969,1270,A
USGS,11179000,2/7/1969,430,A
USGS,11179000,2/8/1969,195,A
USGS,11179000,2/9/1969,133,A
USGS,11179000,2/10/1969,97,A
USGS,11179000,2/11/1969,299,A
USGS,11179000,2/12/1969,783,A
USGS,11179000,2/13/1969,227,A
USGS,11179000,2/14/1969,161,A
USGS,11179000,2/15/1969,514,A
USGS,11179000,2/16/1969,455,A
USGS,11179000,2/17/1969,238,A
USGS,11179000,2/18/1969,472,A
USGS,11179000,2/19/1969,321,A
USGS,11179000,2/20/1969,194,A
USGS,11179000,2/21/1969,155,A
USGS,11179000,2/22/1969,259,A
USGS,11179000,2/23/1969,590,A
USGS,11179000,2/24/1969,878,A
USGS,11179000,2/25/1969,1720,A
USGS,11179000,2/26/1969,2130,A
USGS,11179000,2/27/1969,1770,A
USGS,11179000,2/28/1969,2440,A
USGS,11179000,3/1/1969,3670,A
USGS,11179000,3/2/1969,2420,A
USGS,11179000,3/3/1969,2050,A
USGS,11179000,3/4/1969,1800,A
USGS,11179000,3/5/1969,1530,A
USGS,11179000,3/6/1969,794,A
USGS,11179000,3/7/1969,615,A
USGS,11179000,3/8/1969,445,A
USGS,11179000,3/9/1969,370,A
USGS,11179000,3/10/1969,332,A
USGS,11179000,3/11/1969,299,A
USGS,11179000,3/12/1969,326,A
USGS,11179000,3/13/1969,369,A
USGS,11179000,3/14/1969,304,A
USGS,11179000,3/15/1969,271,A
USGS,11179000,3/16/1969,248,A
USGS,11179000,3/17/1969,240,A
USGS,11179000,3/18/1969,178,A
USGS,11179000,3/19/1969,164,A
USGS,11179000,3/20/1969,166,A
USGS,11179000,3/21/1969,193,A
USGS,11179000,3/22/1969,139,A
USGS,11179000,3/23/1969,121,A
USGS,11179000,3/24/1969,107,A
USGS,11179000,3/25/1969,104,A
USGS,11179000,3/26/1969,102,A
USGS,11179000,3/27/1969,99,A
USGS,11179000,3/28/1969,96,A
USGS,11179000,3/29/1969,111,A
USGS,11179000,3/30/1969,111,A
USGS,11179000,3/31/1969,91,A
USGS,11179000,4/1/1969,90,A
USGS,11179000,4/2/1969,96,A
USGS,11179000,4/3/1969,121,A
USGS,11179000,4/4/1969,93,A
USGS,11179000,4/5/1969,131,A
USGS,11179000,4/6/1969,229,A
USGS,11179000,4/7/1969,195,A
USGS,11179000,4/8/1969,172,A
USGS,11179000,4/9/1969,154,A
USGS,11179000,4/10/1969,146,A
USGS,11179000,4/11/1969,158,A
USGS,11179000,4/12/1969,142,A
USGS,11179000,4/13/1969,129,A
USGS,11179000,4/14/1969,119,A
USGS,11179000,4/15/1969,111,A
USGS,11179000,4/16/1969,100,A
USGS,11179000,4/17/1969,94,A
USGS,11179000,4/18/1969,88,A
USGS,11179000,4/19/1969,84,A
USGS,11179000,4/20/1969,79,A
USGS,11179000,4/21/1969,74,A
USGS,11179000,4/22/1969,71,A
USGS,11179000,4/23/1969,65,A
USGS,11179000,4/24/1969,65,A
USGS,11179000,4/25/1969,54,A
USGS,11179000,4/26/1969,51,A
USGS,11179000,4/27/1969,45,A
USGS,11179000,4/28/1969,41,A
USGS,11179000,4/29/1969,40,A
USGS,11179000,4/30/1969,36,A
USGS,11179000,5/1/1969,29,A
USGS,11179000,5/2/1969,27,A
USGS,11179000,5/3/1969,23,A
USGS,11179000,5/4/1969,27,A
USGS,11179000,5/5/1969,28,A
USGS,11179000,5/6/1969,28,A
USGS,11179000,5/7/1969,47,A
USGS,11179000,5/8/1969,67,A
USGS,11179000,5/9/1969,78,A
USGS,11179000,5/10/1969,79,A
USGS,11179000,5/11/1969,79,A
USGS,11179000,5/12/1969,79,A
USGS,11179000,5/13/1969,64,A
USGS,11179000,5/14/1969,43,A
USGS,11179000,5/15/1969,24,A
USGS,11179000,5/16/1969,18,A
USGS,11179000,5/17/1969,42,A
USGS,11179000,5/18/1969,48,A
USGS,11179000,5/19/1969,46,A
USGS,11179000,5/20/1969,46,A
USGS,11179000,5/21/1969,45,A
USGS,11179000,5/22/1969,44,A
USGS,11179000,5/23/1969,43,A
USGS,11179000,5/24/1969,45,A
USGS,11179000,5/25/1969,50,A
USGS,11179000,5/26/1969,49,A
USGS,11179000,5/27/1969,40,A
USGS,11179000,5/28/1969,39,A
USGS,11179000,5/29/1969,36,A
USGS,11179000,5/30/1969,32,A
USGS,11179000,5/31/1969,39,A
USGS,11179000,6/1/1969,39,A
USGS,11179000,6/2/1969,31,A
USGS,11179000,6/3/1969,29,A
USGS,11179000,6/4/1969,31,A
USGS,11179000,6/5/1969,30,A
USGS,11179000,6/6/1969,30,A
USGS,11179000,6/7/1969,31,A
USGS,11179000,6/8/1969,31,A
USGS,11179000,6/9/1969,28,A
USGS,11179000,6/10/1969,19,A
USGS,11179000,6/11/1969,16,A
USGS,11179000,6/12/1969,16,A
USGS,11179000,6/13/1969,17,A
USGS,11179000,6/14/1969,17,A
USGS,11179000,6/15/1969,18,A
USGS,11179000,6/16/1969,14,A
USGS,11179000,6/17/1969,11,A
USGS,11179000,6/18/1969,8.6,A
USGS,11179000,6/19/1969,8.6,A
USGS,11179000,6/20/1969,7.9,A
USGS,11179000,6/21/1969,21,A
USGS,11179000,6/22/1969,25,A
USGS,11179000,6/23/1969,27,A
USGS,11179000,6/24/1969,27,A
USGS,11179000,6/25/1969,24,A
USGS,11179000,6/26/1969,23,A
USGS,11179000,6/27/1969,18,A
USGS,11179000,6/28/1969,16,A
USGS,11179000,6/29/1969,28,A
USGS,11179000,6/30/1969,29,A
USGS,11179000,7/1/1969,23,A
USGS,11179000,7/2/1969,19,A
USGS,11179000,7/3/1969,12,A
USGS,11179000,7/4/1969,11,A
USGS,11179000,7/5/1969,18,A
USGS,11179000,7/6/1969,18,A
USGS,11179000,7/7/1969,14,A
USGS,11179000,7/8/1969,14,A
USGS,11179000,7/9/1969,15,A
USGS,11179000,7/10/1969,15,A
USGS,11179000,7/11/1969,20,A
USGS,11179000,7/12/1969,26,A
USGS,11179000,7/13/1969,27,A
USGS,11179000,7/14/1969,30,A
USGS,11179000,7/15/1969,23,A
USGS,11179000,7/16/1969,21,A
USGS,11179000,7/17/1969,21,A
USGS,11179000,7/18/1969,21,A
USGS,11179000,7/19/1969,22,A
USGS,11179000,7/20/1969,23,A
USGS,11179000,7/21/1969,22,A
USGS,11179000,7/22/1969,23,A
USGS,11179000,7/23/1969,21,A
USGS,11179000,7/24/1969,23,A
USGS,11179000,7/25/1969,27,A
USGS,11179000,7/26/1969,27,A
USGS,11179000,7/27/1969,28,A
USGS,11179000,7/28/1969,25,A
USGS,11179000,7/29/1969,27,A
USGS,11179000,7/30/1969,26,A
USGS,11179000,7/31/1969,27,A
USGS,11179000,8/1/1969,27,A
USGS,11179000,8/2/1969,26,A
USGS,11179000,8/3/1969,25,A
USGS,11179000,8/4/1969,25,A
USGS,11179000,8/5/1969,26,A
USGS,11179000,8/6/1969,25,A
USGS,11179000,8/7/1969,26,A
USGS,11179000,8/8/1969,27,A
USGS,11179000,8/9/1969,27,A
USGS,11179000,8/10/1969,26,A
USGS,11179000,8/11/1969,25,A
USGS,11179000,8/12/1969,25,A
USGS,11179000,8/13/1969,25,A
USGS,11179000,8/14/1969,25,A
USGS,11179000,8/15/1969,26,A
USGS,11179000,8/16/1969,32,A
USGS,11179000,8/17/1969,35,A
USGS,11179000,8/18/1969,34,A
USGS,11179000,8/19/1969,34,A
USGS,11179000,8/20/1969,33,A
USGS,11179000,8/21/1969,37,A
USGS,11179000,8/22/1969,48,A
USGS,11179000,8/23/1969,45,A
USGS,11179000,8/24/1969,37,A
USGS,11179000,8/25/1969,39,A
USGS,11179000,8/26/1969,39,A
USGS,11179000,8/27/1969,38,A
USGS,11179000,8/28/1969,39,A
USGS,11179000,8/29/1969,40,A
USGS,11179000,8/30/1969,46,A
USGS,11179000,8/31/1969,49,A
USGS,11179000,9/1/1969,50,A
USGS,11179000,9/2/1969,56,A
USGS,11179000,9/3/1969,51,A
USGS,11179000,9/4/1969,53,A
USGS,11179000,9/5/1969,49,A
USGS,11179000,9/6/1969,42,A
USGS,11179000,9/7/1969,42,A
USGS,11179000,9/8/1969,45,A
USGS,11179000,9/9/1969,39,A
USGS,11179000,9/10/1969,43,A
USGS,11179000,9/11/1969,37,A
USGS,11179000,9/12/1969,36,A
USGS,11179000,9/13/1969,36,A
USGS,11179000,9/14/1969,38,A
USGS,11179000,9/15/1969,36,A
USGS,11179000,9/16/1969,38,A
USGS,11179000,9/17/1969,38,A
USGS,11179000,9/18/1969,37,A
USGS,11179000,9/19/1969,37,A
USGS,11179000,9/20/1969,41,A
USGS,11179000,9/21/1969,48,A
USGS,11179000,9/22/1969,46,A
USGS,11179000,9/23/1969,38,A
USGS,11179000,9/24/1969,37,A
USGS,11179000,9/25/1969,38,A
