time,dsdx,h,u,rix
2012-08-01T00:00:00.000000000,0.000020,14.248301,0.000000,inf
2012-08-01T01:00:00.000000000,0.000020,14.248022,0.013026,1.247557
2012-08-01T02:00:00.000000000,0.000020,14.169071,0.120215,0.014524
2012-08-01T03:00:00.000000000,0.000021,14.161203,0.079729,0.034609
2012-08-01T04:00:00.000000000,0.000023,14.353803,-0.119710,0.017400
2012-08-01T05:00:00.000000000,0.000020,14.694181,-0.358028,0.001688
2012-08-01T06:00:00.000000000,0.000012,15.050022,-0.402270,0.000831
2012-08-01T07:00:00.000000000,0.000011,15.207753,-0.183498,0.003870
2012-08-01T08:00:00.000000000,0.000011,14.961793,0.186028,0.003448
2012-08-01T09:00:00.000000000,0.000011,14.384843,0.615363,0.000318
2012-08-01T10:00:00.000000000,0.000020,13.679124,0.972908,0.000216
2012-08-01T11:00:00.000000000,0.000031,13.008739,1.097970,0.000255
2012-08-01T12:00:00.000000000,0.000029,12.477843,0.965039,0.000298
2012-08-01T13:00:00.000000000,0.000023,12.168263,0.560731,0.000664
2012-08-01T14:00:00.000000000,0.000022,12.240484,0.099753,0.020457
2012-08-01T15:00:00.000000000,0.000022,12.686121,-0.397469,0.001354
2012-08-01T16:00:00.000000000,0.000024,13.272823,-0.777569,0.000403
2012-08-01T17:00:00.000000000,0.000023,13.847479,-0.906790,0.000287
2012-08-01T18:00:00.000000000,0.000015,14.369846,-0.771380,0.000271
2012-08-01T19:00:00.000000000,0.000012,14.716599,-0.531120,0.000473
2012-08-01T20:00:00.000000000,0.000012,14.832150,-0.260505,0.001901
2012-08-01T21:00:00.000000000,0.000013,14.644449,0.024687,0.229051
2012-08-01T22:00:00.000000000,0.000014,14.271764,0.297001,0.001681
2012-08-01T23:00:00.000000000,0.000016,13.879934,0.452696,0.000833
2012-08-02T00:00:00.000000000,0.000019,13.516655,0.507217,0.000753
2012-08-02T01:00:00.000000000,0.000021,13.292587,0.414647,0.001254
2012-08-02T02:00:00.000000000,0.000021,13.355414,0.118113,0.015223
2012-08-02T03:00:00.000000000,0.000020,13.688723,-0.292093,0.002473
2012-08-02T04:00:00.000000000,0.000016,14.178202,-0.596391,0.000484
2012-08-02T05:00:00.000000000,0.000017,14.697520,-0.668641,0.000413
2012-08-02T06:00:00.000000000,0.000017,15.122922,-0.532194,0.000682
2012-08-02T07:00:00.000000000,0.000015,15.319969,-0.300260,0.001977
2012-08-02T08:00:00.000000000,0.000016,15.168470,-0.004595,8.554037
2012-08-02T09:00:00.000000000,0.000020,14.722373,0.337100,0.001908
2012-08-02T10:00:00.000000000,0.000020,14.138801,0.673977,0.000459
2012-08-02T11:00:00.000000000,0.000017,13.498067,0.906977,0.000207
2012-08-02T12:00:00.000000000,0.000016,12.896020,0.989456,0.000160
2012-08-02T13:00:00.000000000,0.000016,12.429207,0.849314,0.000213
2012-08-02T14:00:00.000000000,0.000016,12.191578,0.444451,0.000752
2012-08-02T15:00:00.000000000,0.000016,12.371354,-0.033296,0.133646
2012-08-02T16:00:00.000000000,0.000017,12.877332,-0.537008,0.000557
2012-08-02T17:00:00.000000000,0.000015,13.472156,-0.849910,0.000212
2012-08-02T18:00:00.000000000,0.000014,14.041569,-0.891120,0.000190
2012-08-02T19:00:00.000000000,0.000013,14.522063,-0.709641,0.000277
2012-08-02T20:00:00.000000000,0.000015,14.807650,-0.445877,0.000871
2012-08-02T21:00:00.000000000,0.000017,14.820708,-0.166895,0.006704
2012-08-02T22:00:00.000000000,0.000017,14.546857,0.128036,0.011674
2012-08-02T23:00:00.000000000,0.000019,14.137769,0.386660,0.001337
2012-08-03T00:00:00.000000000,0.000017,13.723853,0.569034,0.000546
2012-08-03T01:00:00.000000000,0.000016,13.346709,0.612342,0.000420
2012-08-03T02:00:00.000000000,0.000013,13.173774,0.419353,0.000737
2012-08-03T03:00:00.000000000,0.000012,13.297680,0.050735,0.045668
2012-08-03T04:00:00.000000000,0.000013,13.675737,-0.371750,0.000945
2012-08-03T05:00:00.000000000,0.000012,14.189718,-0.630016,0.000335
2012-08-03T06:00:00.000000000,0.000015,14.707354,-0.661395,0.000391
2012-08-03T07:00:00.000000000,0.000015,15.099730,-0.499015,0.000703
2012-08-03T08:00:00.000000000,0.000011,15.247913,-0.253565,0.002008
2012-08-03T09:00:00.000000000,0.000011,15.048038,0.042895,0.066968
2012-08-03T10:00:00.000000000,0.000013,14.582409,0.383443,0.000994
2012-08-03T11:00:00.000000000,0.000018,14.009068,0.674569,0.000413
2012-08-03T12:00:00.000000000,0.000014,13.391949,0.883254,0.000179
2012-08-03T13:00:00.000000000,0.000010,12.843406,0.923339,0.000111
2012-08-03T14:00:00.000000000,0.000010,12.461375,0.719079,0.000179
2012-08-03T15:00:00.000000000,0.000010,12.361521,0.281519,0.001219
2012-08-03T16:00:00.000000000,0.000010,12.666174,-0.214036,0.002188
2012-08-03T17:00:00.000000000,0.000010,13.216823,-0.663067,0.000224
2012-08-03T18:00:00.000000000,0.000006,13.803411,-0.892170,0.000083
2012-08-03T19:00:00.000000000,0.000014,14.364930,-0.821739,0.000229
2012-08-03T20:00:00.000000000,0.000012,14.776111,-0.607168,0.000377
2012-08-03T21:00:00.000000000,0.000009,14.977843,-0.327198,0.000966
2012-08-03T22:00:00.000000000,0.000010,14.853693,-0.031915,0.112617
2012-08-03T23:00:00.000000000,0.000010,14.488318,0.266738,0.001505
