time,dsdx,h,u,rix
2016-08-01T00:00:00.000000000,-0.000012,14.248301,0.000000,-inf
2016-08-01T01:00:00.000000000,-0.000010,14.243101,0.007702,-1.876253
2016-08-01T02:00:00.000000000,-0.000009,14.196101,0.082559,-0.013556
2016-08-01T03:00:00.000000000,0.000002,14.275393,-0.010993,0.155096
2016-08-01T04:00:00.000000000,0.000006,14.549107,-0.225693,0.001370
2016-08-01T05:00:00.000000000,-0.000010,14.891883,-0.378597,-0.000798
2016-08-01T06:00:00.000000000,-0.000019,15.164983,-0.306163,-0.002274
2016-08-01T07:00:00.000000000,-0.000018,15.167743,-0.026467,-0.298141
2016-08-01T08:00:00.000000000,-0.000018,14.767501,0.356503,-0.001620
2016-08-01T09:00:00.000000000,-0.000007,14.129906,0.747403,-0.000124
2016-08-01T10:00:00.000000000,0.000010,13.453269,1.015531,0.000103
2016-08-01T11:00:00.000000000,0.000044,12.858318,1.056770,0.000380
2016-08-01T12:00:00.000000000,0.000076,12.430475,0.830213,0.001032
2016-08-01T13:00:00.000000000,0.000115,12.275558,0.349972,0.008733
2016-08-01T14:00:00.000000000,0.000116,12.511452,-0.134120,0.060917
2016-08-01T15:00:00.000000000,0.000066,13.016411,-0.541163,0.002221
2016-08-01T16:00:00.000000000,0.000029,13.575091,-0.838512,0.000425
2016-08-01T17:00:00.000000000,-0.000012,14.115478,-0.814669,-0.000193
2016-08-01T18:00:00.000000000,-0.000006,14.540202,-0.638316,-0.000155
2016-08-01T19:00:00.000000000,-0.000002,14.775219,-0.377078,-0.000144
2016-08-01T20:00:00.000000000,-0.000001,14.745370,-0.123605,-0.000855
2016-08-01T21:00:00.000000000,-0.000001,14.469940,0.145385,-0.000729
2016-08-01T22:00:00.000000000,0.000008,14.097995,0.348075,0.000667
2016-08-01T23:00:00.000000000,0.000002,13.743459,0.491788,0.000092
2016-08-02T00:00:00.000000000,0.000019,13.438646,0.491925,0.000786
2016-08-02T01:00:00.000000000,0.000035,13.347970,0.277608,0.004616
